"","probe_id","feature_id"
"ENSG00000223972","ENSG00000223972","ENSG00000223972"
"ENSG00000227232","ENSG00000227232","ENSG00000227232"
"ENSG00000278267","ENSG00000278267","ENSG00000278267"
"ENSG00000243485","ENSG00000243485","ENSG00000243485"
"ENSG00000284332","ENSG00000284332","ENSG00000284332"
"ENSG00000237613","ENSG00000237613","ENSG00000237613"
"ENSG00000268020","ENSG00000268020","ENSG00000268020"
"ENSG00000240361","ENSG00000240361","ENSG00000240361"
"ENSG00000186092","ENSG00000186092","ENSG00000186092"
"ENSG00000238009","ENSG00000238009","ENSG00000238009"
