row,experiment_id,sample_id,platform_id,cell_type,category,general_cell_type,donor_tissue,sub_cell_type1,ts_timepoint,ResemblingNativeCellType,AdditionalProperty,GSE,GSM,SRR_accession,QC_summary,SRX_accession,SRS_accession,SRP_accession,GSE_accession,Sample_name,LibraryLayout,Model
SRP053034.SRX955743.GPL16791,SRP053034,SRX955743,GPL16791,retinal pigmented epithelium,standard,RPE,NA,NA,,,,,,SRR1783834,PASS,SRX955743,SRS873539,SRP053034,"Quiescent RPE-1 cells, untreated",,PAIRED,Illumina HiSeq 2500
SRP053034.SRX955743.GPL16791,SRP053034,SRX955743,GPL16791,retinal pigmented epithelium,standard,RPE,NA,NA,,,,,,SRR1783835,PASS,SRX955743,SRS873539,SRP053034,"Quiescent RPE-1 cells, untreated",,PAIRED,Illumina HiSeq 2500
SRP053034.SRX955744.GPL16791,SRP053034,SRX955744,GPL16791,"retinal pigmented epithelium, treated",other,RPE.t,NA,NA,,,,,,SRR1783836,PASS,SRX955744,SRS873540,SRP053034,"Quiescent RPE-1 cells , irradiated with 20 J/cm2 UV-C, 6 hrs post-irradiation",,PAIRED,Illumina HiSeq 2500
SRP053034.SRX955744.GPL16791,SRP053034,SRX955744,GPL16791,"retinal pigmented epithelium, treated",other,RPE.t,NA,NA,,,,,,SRR1783837,PASS,SRX955744,SRS873540,SRP053034,"Quiescent RPE-1 cells , irradiated with 20 J/cm2 UV-C, 6 hrs post-irradiation",,PAIRED,Illumina HiSeq 2500
SRP053034.SRX955745.GPL16791,SRP053034,SRX955745,GPL16791,"retinal pigmented epithelium, treated",other,RPE.t,NA,NA,,,,,,SRR1783838,PASS,SRX955745,SRS873541,SRP053034,"Quiescent RPE-1 cells, treated with 0.01mM ATM inhibitor and irradiated with 20J/cm^2 UV-C",,PAIRED,Illumina HiSeq 2500
SRP053034.SRX955745.GPL16791,SRP053034,SRX955745,GPL16791,"retinal pigmented epithelium, treated",other,RPE.t,NA,NA,,,,,,SRR1783839,PASS,SRX955745,SRS873541,SRP053034,"Quiescent RPE-1 cells, treated with 0.01mM ATM inhibitor and irradiated with 20J/cm^2 UV-C",,PAIRED,Illumina HiSeq 2500
ERP003259.ERX269432.GPL11154,ERP003259,ERX269432,GPL11154,embryonic stem cell,standard,ESC,NA,NA,,,cellline_name:H1;pmid:24013217,,,ERR296095,PASS,ERX269432,ERS252028,ERP003259,SAMEA2078456,,PAIRED,Illumina HiSeq 2000
ERP003259.ERX269436.GPL11154,ERP003259,ERX269436,GPL11154,"embryonic stem cell, treated",other,ESC.t,NA,NA,,,,,,ERR296096,PASS,ERX269436,ERS252028,ERP003259,SAMEA2078456,,PAIRED,Illumina HiSeq 2000
ERP003259.ERX269434.GPL11154,ERP003259,ERX269434,GPL11154,"embryonic stem cell, treated",other,ESC.t,NA,NA,,,,,,ERR296097,PASS,ERX269434,ERS252028,ERP003259,SAMEA2078456,,PAIRED,Illumina HiSeq 2000
ERP003259.ERX269429.GPL11154,ERP003259,ERX269429,GPL11154,"embryonic stem cell, treated",other,ESC.t,NA,NA,,,,,,ERR296098,PASS,ERX269429,ERS252028,ERP003259,SAMEA2078456,,PAIRED,Illumina HiSeq 2000
ERP003259.ERX269437.GPL11154,ERP003259,ERX269437,GPL11154,"embryonic stem cell, treated",other,ESC.t,NA,NA,,,,,,ERR296099,PASS,ERX269437,ERS252028,ERP003259,SAMEA2078456,,PAIRED,Illumina HiSeq 2000
ERP003259.ERX269435.GPL11154,ERP003259,ERX269435,GPL11154,"embryonic stem cell, treated",other,ESC.t,NA,NA,,,,,,ERR296100,PASS,ERX269435,ERS252028,ERP003259,SAMEA2078456,,PAIRED,Illumina HiSeq 2000
ERP003259.ERX269438.GPL11154,ERP003259,ERX269438,GPL11154,"embryonic stem cell, treated",other,ESC.t,NA,NA,,,,,,ERR296101,PASS,ERX269438,ERS252028,ERP003259,SAMEA2078456,,PAIRED,Illumina HiSeq 2000
