"","SRR1783834","SRR1783835","SRR1783836","SRR1783837","SRR1783838","SRR1783839","ERR296095","ERR296096","ERR296097","ERR296098","ERR296099","ERR296100","ERR296101","ERR296102","ERR296103","ERR296104","ERR296105","ERR296106","ERR361240","ERR361241","ERR361242","ERR361243","ERR361244","ERR361245","ERR368941","ERR368942","ERR368943","ERR368944","SRR7626971","SRR7626972","SRR7626973","SRR7626974","SRR7626975","SRR1639212","SRR1639243","SRR1639251","SRR1639273","SRR1639278","SRR1639279","SRR1693600","SRR1693614","SRR1693631","SRR1693632","SRR521477","SRR521478","SRR521479","SRR521480","SRR521481","SRR521482","SRR521483","SRR521484","SRR521502","SRR521514","SRR521515","SRR6025297","SRR6025298","SRR6025299","SRR6025300","SRR6025301","SRR6025302","SRR6025303","SRR6025304","SRR6025305","SRR3878157","SRR3878158","SRR3878159","SRR5487764","SRR5487765","SRR5487766","SRR5487763","ERR1474890","ERR1474891","ERR1474892","SRR1523347","SRR1523354","SRR1523355","SRR2142347","SRR2166265","SRR2166367","SRR2166368","SRR2895378","SRR2895380","SRR447137","SRR447138","SRR447139","SRR447140","SRR447142","SRR447143","SRR447144","SRR5740337","SRR5740338","SRR5740339","SRR7626967","SRR7626968","SRR7626970","ERR2365244","ERR2365245","SRR2156549","ERR2105154","ERR2105155","ERR2105156","ERR2105157","ERR2105158","ERR2105160","ERR2105161","ERR2105162","ERR2105163","ERR2105165","ERR2105167","ERR2105168","ERR2105169","ERR2105170","ERR2105171","ERR2105172","ERR2105173","ERR2105174","ERR2105175","ERR2105176","ERR2105177","ERR2105178","ERR2105179","ERR2105181","ERR2105182","ERR2105183","ERR2105184","ERR2105185","ERR2105186","ERR2105187","ERR2105188","ERR2105189","ERR2105190","ERR2105191","ERR2105192","ERR2105193","ERR2105195","ERR2105196","ERR2105197","ERR2105198","ERR2105199","ERR2105200","ERR2105201","ERR2105203","ERR2105205","ERR2105206","ERR2105207","ERR2105208","ERR2105209","ERR2105210","ERR2105211","ERR2105212","ERR2105213","ERR2105214","ERR2105215","ERR2105216","ERR2105217","ERR2105218","ERR2105219","ERR2105221","ERR2105222","ERR2105224","ERR2105226","ERR2105227","ERR2105228","ERR2105229","ERR2105230","ERR2105231","ERR2105232","ERR2105233","ERR2105235","ERR2105236","ERR2105237","ERR2105238","ERR2105239","ERR2105240","ERR2105241","ERR2105242","ERR2105243","ERR2105244","ERR2105247","ERR2105248","ERR2105249","ERR2105250","ERR2105251","ERR2105252","ERR2105254","ERR2105256","ERR2105257","ERR2105258","ERR2105268","ERR2105269","ERR2365247","ERR2365248","ERR2365249","SRR1198658","SRR1198660","SRR1200250","SRR1264499","SRR1264501","SRR1564407","SRR1564408","SRR1564414","SRR1564415","SRR7608021","SRR7608022","SRR7608023","SRR7608024","SRR7608025","ERR2598051","ERR2598057","ERR2598069","ERR2598070","ERR2598071","ERR2598072","ERR2598077","ERR2598079","ERR2598080","ERR2598089","ERR2598092","ERR2598093","ERR2598094","ERR2598104","ERR2598109","ERR2598110","ERR2598111","ERR2598120","ERR2598121","ERR2598125","ERR2598126","ERR2598127","ERR2598137","ERR2598164","ERR2598165","ERR2598166","ERR2598169","ERR2598170","ERR2598171","ERR2598180","ERR2598181","ERR2598184","ERR2598185","ERR2598195","ERR2598196","ERR2598197","ERR2598198","ERR2598206","ERR2598207","ERR2598208","ERR2598212","ERR2598213","ERR2598214","ERR2598226","ERR2598235","ERR2598236","ERR2598237","ERR2598251","ERR2598256","ERR2598257","SRR7421702","SRR7421703","SRR7421704","SRR7421705","SRR7421706","SRR7421707","SRR7421708","SRR7421709","SRR7421710","SRR7421711","SRR7421712","SRR7421713","SRR7421714","SRR7421715","SRR7421716","SRR7421717","SRR7421718","SRR7421719","SRR7421721","SRR1596232","SRR1596233","SRR1596234","SRR7347186","SRR7347188","SRR7347189","SRR7347190","SRR7347191","SRR7347194","SRR1999221","SRR1615219","SRR1615220","SRR307903","SRR837858","SRR837859","ERR1247118","ERR1247120","ERR1247122","ERR1247123","ERR1247124","ERR1247125","ERR1247126","ERR701513","SRR087756","SRR087757","SRR087758","SRR087760","SRR087761","SRR087764","SRR087765","SRR087766","SRR087767","SRR087768","SRR087769","SRR2156548","SRR2954789","SRR2954790","SRR2954791","SRR2954792","SRR2954793","SRR316212","SRR316213","SRR5576267","SRR5576294","SRR998527","SRR998531","SRR998540","SRR998542","SRR828795","SRR828796","SRR828797","SRR828798","SRR828799","SRR828800","SRR828801","SRR828802","SRR1107925","SRR1107926","SRR1107927","SRR1107928","SRR1107929","SRR1107931","SRR1427122","SRR4054262","SRR4054263","SRR4054264","SRR4054265","SRR4054266","SRR4054267","SRR4054268","SRR4054269","SRR4054270","SRR4054271","SRR4054272","SRR4054273","SRR4054274","SRR4054275","SRR4054276","ERR2097730","ERR2097731","ERR2097733","ERR2097734","ERR2097735","ERR2097742","ERR2097743","ERR2097746","ERR2097747","ERR2097754","ERR2097755","ERR2097758","ERR2097759","ERR2097766","ERR2097767","ERR2653406","SRR2296837","SRR2310596","SRR2310879"
"ENSG00000223972",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1,0,1,1,1,1,2,0,1,1,2,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,1,3,0
"ENSG00000227232",62,72,30,25,30,37,18,9,13,17,8,6,23,9,9,17,8,6,1,2,0,2,1,0,11,14,8,12,49,25,64,29,48,11,22,40,26,26,29,39,50,25,40,26,26,8,6,8,7,7,5,0,17,13,78,122,116,153,122,133,180,189,91,7,2,3,2,3,6,7,80,151,107,10,11,15,0,0,0,1,4,2,1,0,0,0,2,0,0,209,781,179,78,92,58,62,61,0,1,0,0,2,0,2,0,0,0,1,0,0,0,0,3,0,2,0,1,7,3,0,0,0,0,0,0,0,0,0,0,4,8,0,1,0,0,0,0,0,0,0,0,4,1,1,0,1,2,1,0,0,0,0,1,0,0,0,0,1,0,3,0,1,0,0,3,0,2,0,2,0,1,0,3,0,1,0,0,1,7,2,1,1,0,0,0,2,0,0,0,0,51,46,34,13,9,17,63,36,7,9,30,16,30,36,30,32,34,13,3,6,6,4,2,6,0,3,1,4,1,0,5,16,2,2,20,9,15,45,10,7,6,8,3,1,8,2,0,8,2,2,6,1,3,4,5,4,6,13,2,6,4,25,8,10,5,21,7,158,104,136,122,147,74,144,185,139,263,186,157,97,121,104,95,136,115,132,9,5,7,98,57,61,84,105,198,998,0,0,27,21,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,56,4,5,4,0,5,3,10,24,135,66,28,98,51,48,54,52,18,23,38,44,3,2,1,1,3,0,2,128,146,138,240,92,150,186,68,189,128,109,84,112,61,97,13,14,36,40,49,29,23,45,38,31,25,41,54,4,11,32,49,22,45
"ENSG00000278267",3,5,2,0,1,3,4,3,4,2,4,0,3,3,0,2,2,1,2,2,4,1,0,1,1,1,2,0,0,0,9,1,2,0,1,1,2,0,1,1,1,0,0,1,0,1,0,5,1,2,1,0,0,0,3,7,2,8,8,1,3,5,6,15,22,5,0,0,0,0,5,8,12,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,55,12,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,9,16,1,2,5,0,2,29,19,34,14,23,22,22,14,3,2,12,15,4,14,43,3,15,51,19,27,27,16,26,7,14,19,1,25,15,13,30,20,13,53,10,38,14,46,21,5,27,25,3,24,31,20,42,21,24,38,0,1,1,0,1,0,1,0,0,1,1,0,0,0,0,3,0,1,0,10,9,14,7,1,4,1,3,14,5,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,7,4,1,4,0,9,0,1,7,7,7,5,7,9,4,3,4,1,0,2,3,0,0,11,25,26,56,7,28,20,15,32,17,6,21,9,11,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0
"ENSG00000243485",0,0,2,1,1,0,0,5,2,2,1,0,1,0,1,3,1,2,0,0,1,2,0,1,0,2,0,1,0,1,0,0,0,1,1,1,0,5,7,1,0,10,4,0,2,1,1,1,1,1,2,0,0,1,2,5,4,5,7,5,3,8,4,1,0,0,0,0,0,0,1,5,8,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,2,44,1,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,1,0,0,0,0,1,2,4,4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,5,4,1,5,1,6,2,5,2,2,2,2,2,3,1,4,2,1,6,0,1,0,0,0,1,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,3,1,1,0,0,0,0,2,3,0,0,0,0,1,0,0,0,0,3,3,1,0,0,0,0,0,0,1,0,0,0,0,0
"ENSG00000284332",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000237613",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000268020",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000240361",0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,3,0,3,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000186092",0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,78,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000238009",2,2,0,0,0,0,1,0,0,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,2,1,0,1,2,0,0,1,0,0,0,5,7,0,0,0,0,4,2,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,17,0,2,4,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,1,0,1,9,4,4,5,5,2,2,0,0,0,0,3,3,0,0,1,1,0,0,0,0,0,2,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,1,0,0,0,0,0,1,0,8,0,0,2,3,1,2,1,0,1,2,2,0,0,2,3,0,1,0,0,2,2,0,0,1,1,3,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,23,28,65,17,28,13,8,8,16,4,13,0,1,0,0,0,0,0,2,0,0,6,1,0,0,1,2,0,2,2,0,3,3
